"","features","max_depth","eta(learning rate)","cv-rmse"
"result","top 1 features","3","0.1","10.9966248"
"result.1","top 2 features","9","0.5","7.8924662"
"result.2","top 3 features","9","0.25","7.5659126"
"result.3","top 4 features","11","0.25","7.4700874"
"result.4","top 5 features","11","0.25","7.5681676"
"result.5","top 6 features","9","0.25","7.5822794"
"result.6","top 7 features","9","0.25","7.4596536"
"result.7","top 8 features","11","0.1","7.5252744"
"result.8","top 9 features","9","0.25","7.509116"
"result.9","top 10 features","9","0.25","7.4896898"
"result.10","top 11 features","9","0.25","7.3272304"
"result.11","top 12 features","9","0.25","7.3872686"
"result.12","top 13 features","11","0.1","7.4139402"
"result.13","top 14 features","9","0.25","7.3809"
"result.14","top 15 features","9","0.25","7.3809"
"result.15","top 16 features","11","0.25","7.4054108"
"result.16","top 17 features","11","0.25","7.3746844"
"result.17","top 18 features","11","0.1","7.3900858"
